iwwanu Iyu(V2)+iwwa_Iyu_PAST+anu_a_3SM   
Iyuvuxara Iyu(V2)+vuxara_#_GEN
Iyuvuxaralli Iyu(V2)+vuxaralli_#_LOC
Iyuvuxakkoskara Iyu(V2)+vuxu_#_DAT+xakkoskara_xu_BEN
Iyuvuxakkoskara Iyu(V2)+vuxu_#_DAT+xakkoskara_xu_PUR
IyuvuxakkAgi Iyu(V2)+vuxu_#_DAT+xakkAgi_xu_BEN
IyuvuxakkAgi Iyu(V2)+vuxu_#_DAT+xakkAgi_xu_PUR
Iyuvuxakkosuga Iyu(V2)+vuxu_#_DAT+xakkosuga_xu_BEN
Iyuvuxakkosuga Iyu(V2)+vuxu_#_DAT+xakkosuga_xu_PUR
IyuvuxakkiMwa Iyu(V2)+vuxu_#_DAT+xakkiMwa_xu_COMP
IyuvaMweV Iyu(V2)+vaMweV_#_SIM
IyuvaMwa Iyu(V2)+vaMwa_#_SIM
IyuvaMwaha Iyu(V2)+vaMwaha_#_SIM
IyuvuxaroVdaneV Iyu(V2)+vuxu_#_GEN+xaroVdaneV_xu_SOC
IyuvuxaroVMxigeV Iyu(V2)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
Iyuvavanannu Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nannu_nu_3SM
IyuvavanannA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nannA_nu_INTR
IyuvavanannU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nannU_nu_INCL
Iyuvavananno Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nanno_nu_DUB
Iyuvavananno Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nanno_nu_INDF
Iyuvavananno Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nanno_nu_PRES
Iyuvavananne Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nanne_nu_IMPH
Iyuvavananne Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nanne_nu_DECL
Iyuvavananne Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ACC+nanne_nu_RIS
IyuvavaniMxa Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxa_nu_3SM
IyuvavaniMxalA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxalA_nu_INTR
IyuvavaniMxalU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxalU_nu_INCL
IyuvavaniMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxalo_nu_DUB
IyuvavaniMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxalo_nu_INDF
IyuvavaniMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxalo_nu_PRES
IyuvavaniMxale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxale_nu_IMPH
IyuvavaniMxale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxale_nu_DECL
IyuvavaniMxale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_INS+niMxale_nu_RIS
IyuvavanigeV Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeV_nu_3SM
IyuvavanigeVyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
IyuvavanigeVyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
IyuvavanigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
IyuvavanigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
IyuvavanigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
IyuvavanigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
IyuvavanigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVye_nu_DECL
IyuvavanigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_DAT+nigeVye_nu_RIS
IyuvavaniMxa  Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxa_nu_3SM
IyuvavaniMxalA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxalA_nu_INTR
IyuvavaniMxalU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxalU_nu_INCL
IyuvavaniMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxalo_nu_DUB
IyuvavaniMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxalo_nu_INDF
IyuvavaniMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxalo_nu_PRES
IyuvavaniMxale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxale_nu_IMPH
IyuvavaniMxale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxale_nu_DECL
IyuvavaniMxale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_ABL+niMxale_nu_RIS
Iyuvavana Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_GEN+na_nu_3SM
Iyuvavanalli Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalli_nu_3SM
IyuvavanalliyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliyA_nu_INTR
IyuvavanalliyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliyU_nu_INCL
Iyuvavanalliyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliyo_nu_DUB
Iyuvavanalliyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliyo_nu_INDF
Iyuvavanalliyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliyo_nu_PRES
Iyuvavanalliye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliye_nu_IMPH
Iyuvavanalliye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliye_nu_DECL
Iyuvavanalliye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_LOC+nalliye_nu_RIS
Iyuvavanigoskara Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskara_nu_3SM
IyuvavanigoskaravA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
IyuvavanigoskaravU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
Iyuvavanigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
Iyuvavanigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
Iyuvavanigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
Iyuvavanigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
Iyuvavanigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
Iyuvavanigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
Iyuvavanigoskara Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskara_nu_3SM
IyuvavanigoskaravA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
IyuvavanigoskaravU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
Iyuvavanigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
Iyuvavanigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
Iyuvavanigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
Iyuvavanigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
Iyuvavanigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
Iyuvavanigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
IyuvavanigAgi Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgi_nu_3SM
IyuvavanigAgiyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
IyuvavanigAgiyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
IyuvavanigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
IyuvavanigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
IyuvavanigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
IyuvavanigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
IyuvavanigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
IyuvavanigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
IyuvavanigAgi Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgi_nu_3SM
IyuvavanigAgiyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
IyuvavanigAgiyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
IyuvavanigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
IyuvavanigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
IyuvavanigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
IyuvavanigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
IyuvavanigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
IyuvavanigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
Iyuvavanigosuga Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosuga_nu_3SM
IyuvavanigosugavA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
IyuvavanigosugavU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
Iyuvavanigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
Iyuvavanigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
Iyuvavanigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
Iyuvavanigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
Iyuvavanigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugave_nu_DECL
Iyuvavanigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_BEN+nigosugave_nu_RIS
Iyuvavanigosuga Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosuga_nu_3SM
IyuvavanigosugavA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
IyuvavanigosugavU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
Iyuvavanigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
Iyuvavanigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
Iyuvavanigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
Iyuvavanigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
Iyuvavanigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugave_nu_DECL
Iyuvavanigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_PUR+nigosugave_nu_RIS
IyuvavanigiMwa Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
IyuvavanigiMwalA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
IyuvavanigiMwalU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
IyuvavanigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
IyuvavanigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
IyuvavanigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
IyuvavanigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
IyuvavanigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
IyuvavanigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
IyuvavanaMweV Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweV_nu_3SM
IyuvavanaMweVyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
IyuvavanaMweVyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
IyuvavanaMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
IyuvavanaMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
IyuvavanaMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
IyuvavanaMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
IyuvavanaMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVye_nu_DECL
IyuvavanaMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SIM+naMweVye_nu_RIS
IyuvavanoVdaneV Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
IyuvavanoVdaneVyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
IyuvavanoVdaneVyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
IyuvavanoVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
IyuvavanoVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
IyuvavanoVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
IyuvavanoVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
IyuvavanoVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
IyuvavanoVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
IyuvavanoVMxigeV Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
IyuvavanoVMxigeVyA Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
IyuvavanoVMxigeVyU Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
IyuvavanoVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
IyuvavanoVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
IyuvavanoVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
IyuvavanoVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
IyuvavanoVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
IyuvavanoVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
IyuvavalYannu Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
IyuvavalYannA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
IyuvavalYannU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
IyuvavalYanno Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
IyuvavalYanno Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
IyuvavalYanno Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
IyuvavalYanne Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
IyuvavalYanne Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
IyuvavalYanne Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
IyuvavalYiMxa Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
IyuvavalYiMxalA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
IyuvavalYiMxalU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
IyuvavalYiMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
IyuvavalYiMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
IyuvavalYiMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
IyuvavalYiMxale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
IyuvavalYiMxale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
IyuvavalYiMxale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
IyuvavalYigeV Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
IyuvavalYigeVyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
IyuvavalYigeVyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
IyuvavalYigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
IyuvavalYigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
IyuvavalYigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
IyuvavalYigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
IyuvavalYigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
IyuvavalYigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
IyuvavalYiMxa  Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
IyuvavalYiMxalA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
IyuvavalYiMxalU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
IyuvavalYiMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
IyuvavalYiMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
IyuvavalYiMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
IyuvavalYiMxale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
IyuvavalYiMxale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
IyuvavalYiMxale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
IyuvavalYa Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_GEN+lYa_lYu_3SF
IyuvavalYalli Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
IyuvavalYalliyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
IyuvavalYalliyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
IyuvavalYalliyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
IyuvavalYalliyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
IyuvavalYalliyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
IyuvavalYalliye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
IyuvavalYalliye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
IyuvavalYalliye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
IyuvavalYigoskara Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
IyuvavalYigoskaravA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
IyuvavalYigoskaravU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
IyuvavalYigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
IyuvavalYigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
IyuvavalYigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
IyuvavalYigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
IyuvavalYigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
IyuvavalYigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
IyuvavalYigoskara Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
IyuvavalYigoskaravA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
IyuvavalYigoskaravU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
IyuvavalYigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
IyuvavalYigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
IyuvavalYigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
IyuvavalYigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
IyuvavalYigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
IyuvavalYigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
IyuvavalYigAgi Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
IyuvavalYigAgiyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
IyuvavalYigAgiyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
IyuvavalYigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
IyuvavalYigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
IyuvavalYigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
IyuvavalYigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
IyuvavalYigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
IyuvavalYigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
IyuvavalYigAgi Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
IyuvavalYigAgiyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
IyuvavalYigAgiyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
IyuvavalYigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
IyuvavalYigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
IyuvavalYigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
IyuvavalYigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
IyuvavalYigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
IyuvavalYigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
