toVmyAtoVgalYu toVmyAtoV(N22NUET)+galYu_#_PL
toVmyAtoVgalYigiMwalo toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwalo_lYu_INDF
toVmyAtoVgalYigiMwalo toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwalo_lYu_PRES
toVmyAtoVgalYigiMwale toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwale_lYu_IMPH
toVmyAtoVgalYigiMwale toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwale_lYu_DECL
toVmyAtoVgalYigiMwale toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwale_lYu_RIS
toVmyAtoVgalYaMweVyA toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVyA_lYu_INTR
toVmyAtoVgalYaMweVyU toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVyU_lYu_INCL
toVmyAtoVgalYaMweVyo toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVyo_lYu_DUB
toVmyAtoVgalYaMweVyo toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVyo_lYu_INDF
toVmyAtoVgalYaMweVyo toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVyo_lYu_PRES
toVmyAtoVgalYaMweVye toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVye_lYu_IMPH
toVmyAtoVgalYaMweVye toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVye_lYu_DECL
toVmyAtoVgalYaMweVye toVmyAtoV(N22NUET)+galYu_#_SIM+lYaMweVye_lYu_RIS
toVmyAtoVgalYoVdaneVyA toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
toVmyAtoVgalYoVdaneVyU toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
toVmyAtoVgalYoVdaneVyo toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
toVmyAtoVgalYoVdaneVyo toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
toVmyAtoVgalYoVdaneVyo toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
toVmyAtoVgalYoVdaneVye toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
toVmyAtoVgalYoVdaneVye toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
toVmyAtoVgalYoVdaneVye toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
toVmyAtoVgalYoVMxigeVyA toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
toVmyAtoVgalYoVMxigeVyU toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
toVmyAtoVgalYoVMxigeVyo toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
toVmyAtoVgalYoVMxigeVyo toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
toVmyAtoVgalYoVMxigeVyo toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
toVmyAtoVgalYoVMxigeVye toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
toVmyAtoVgalYoVMxigeVye toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
toVmyAtoVgalYoVMxigeVye toVmyAtoV(N22NUET)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


